location,datetime,lat,lon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,weather_main,weather_desc,rain_1h,snow_1h,elevation_m
K2 Base Camp,2025-07-16 17:37:51,35.83455,76.50927,1.03,-0.41,1.03,1.03,1018,99,1.39,178,100,Snow,light snow,0,0.39,4965
K2 Summit,2025-07-16 17:37:51,35.8825,76.51333,-16.29,-16.29,-16.29,-16.29,1017,98,1.24,192,100,Snow,light snow,0,0.39,8611
K2 Base Camp,2025-07-16 18:57:26,35.83455,76.50927,1.04,-1.08,1.04,1.04,1017,99,1.87,200,100,Snow,light snow,0,0.11,4965
K2 Summit,2025-07-16 18:57:27,35.8825,76.51333,-16.47,-20.23,-16.47,-16.47,1017,99,1.38,208,100,Snow,light snow,0,0.16,8611
K2 Base Camp,2025-07-16 19:31:18,35.83455,76.50927,0.91,-1.21,0.91,0.91,1018,98,1.85,218,100,Snow,light snow,0,0.14,4965
K2 Summit,2025-07-16 19:31:18,35.8825,76.51333,-16.54,-20.52,-16.54,-16.54,1017,98,1.46,227,100,Snow,light snow,0,0.2,8611
K2 Base Camp,2025-07-16 20:45:04,35.83455,76.50927,0.71,0.71,0.71,0.71,1017,99,1.28,220,100,Snow,light snow,0,0.17,4965
K2 Summit,2025-07-16 20:45:05,35.8825,76.51333,-16.76,-16.76,-16.76,-16.76,1017,99,1.22,231,100,Snow,light snow,0,0.22,8611
K2 Base Camp,2025-07-16 21:38:35,35.83455,76.50927,1.18,-0.63,1.18,1.18,1016,95,1.65,222,100,Clouds,overcast clouds,0,0,4965
K2 Summit,2025-07-16 21:38:35,35.8825,76.51333,-16.41,-20.34,-16.41,-16.41,1016,95,1.45,229,100,Clouds,overcast clouds,0,0,8611
K2 Base Camp,2025-07-16 22:48:09,35.83455,76.50927,0.74,0.74,0.74,0.74,1017,99,0.43,219,100,Clouds,overcast clouds,0,0,4965
K2 Summit,2025-07-16 22:48:09,35.8825,76.51333,-16.77,-16.77,-16.77,-16.77,1017,98,0.37,256,100,Clouds,overcast clouds,0,0,8611
K2 Base Camp,2025-07-16 23:37:59,35.83455,76.50927,0.86,0.86,0.86,0.86,1017,100,0.45,192,100,Clouds,overcast clouds,0,0,4965
K2 Summit,2025-07-16 23:37:59,35.8825,76.51333,-16.66,-16.66,-16.66,-16.66,1017,99,0.26,216,100,Clouds,overcast clouds,0,0,8611
K2 Base Camp,2025-07-17 03:49:09,35.83455,76.50927,2.27,0.79,2.27,2.27,1018,99,1.53,243,99,Clouds,overcast clouds,0,0,4965
K2 Summit,2025-07-17 03:49:09,35.8825,76.51333,-15.19,-18.75,-15.19,-15.19,1017,98,1.37,252,99,Clouds,overcast clouds,0,0,8611
K2 Base Camp,2025-07-17 05:02:21,35.83455,76.50927,2.99,1.57,2.99,2.99,1017,98,1.56,245,99,Clouds,overcast clouds,0,0,4965
K2 Summit,2025-07-17 05:02:21,35.8825,76.51333,-14.43,-18.06,-14.43,-14.43,1016,94,1.44,254,99,Clouds,overcast clouds,0,0,8611
K2 Base Camp,2025-07-17 06:58:39,35.83455,76.50927,4.02,2.68,4.02,4.02,1016,97,1.61,239,98,Clouds,overcast clouds,0,0,4965
K2 Summit,2025-07-17 06:58:39,35.8825,76.51333,-13.35,-16.88,-13.35,-13.35,1015,92,1.46,240,100,Snow,light snow,0,0.1,8611
K2 Base Camp,2025-07-17 07:39:41,35.83455,76.50927,4.35,4.35,4.35,4.35,1015,95,1.15,263,99,Clouds,overcast clouds,0,0,4965
K2 Summit,2025-07-17 07:39:41,35.8825,76.51333,-12.85,-12.85,-12.85,-12.85,1015,88,1.08,272,100,Snow,light snow,0,0.14,8611
K2 Base Camp,2025-07-17 08:56:17,35.83455,76.50927,4.46,4.46,4.46,4.46,1016,95,0.71,269,99,Clouds,overcast clouds,0,0,4965
K2 Summit,2025-07-17 08:56:17,35.8825,76.51333,-12.6,-12.6,-12.6,-12.6,1015,88,0.82,301,100,Clouds,overcast clouds,0,0,8611
K2 Base Camp,2025-07-17 09:48:16,35.83455,76.50927,3.78,3.78,3.78,3.78,1017,97,0.72,305,99,Clouds,overcast clouds,0,0,4965
K2 Summit,2025-07-17 09:48:16,35.8825,76.51333,-13.28,-13.28,-13.28,-13.28,1016,91,1.09,324,99,Snow,light snow,0,0.14,8611
K2 Base Camp,2025-07-17 10:51:17,35.83455,76.50927,3.32,3.32,3.32,3.32,1017,99,0.63,343,99,Clouds,overcast clouds,0,0,4965
K2 Summit,2025-07-17 10:51:17,35.8825,76.51333,-14.02,-14.02,-14.02,-14.02,1017,95,0.9,340,100,Snow,light snow,0,0.11,8611
K2 Base Camp,2025-07-17 11:34:51,35.83455,76.50927,3.1,3.1,3.1,3.1,1017,100,1.25,1,99,Clouds,overcast clouds,0,0,4965
K2 Summit,2025-07-17 11:34:51,35.8825,76.51333,-14.44,-18.1,-14.44,-14.44,1017,98,1.45,356,100,Snow,light snow,0,0.13,8611
